Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Price Date,Modal Price (Rs./kg),Min Price ,Max price
1,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,1000,15000,12-Jan-25,125,10,150
2,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,3400,9700,24-Oct-24,65.5,34,97
3,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,3500,8500,23-Sep-24,60,35,85
4,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,3500,9500,9-Dec-24,65,35,95
5,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,4000,11000,11-Dec-24,75,40,110
6,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,4000,13000,17-Dec-24,105,40,130
7,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,4500,7600,2-Oct-24,60.5,45,76
8,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,4500,13000,14-Dec-24,87.5,45,130
9,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,4700,9500,19-Sep-24,71,47,95
10,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5000,7000,2-Nov-24,60,50,70
11,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5000,9000,10-Dec-24,70,50,90
12,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5000,9000,11-Sep-24,70,50,90
13,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5000,9000,13-Oct-24,70,50,90
14,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5000,9000,22-Sep-24,70,50,90
15,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5000,11000,9-Sep-24,80,50,110
16,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5000,13000,26-Sep-24,90,50,130
17,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5000,16000,19-Nov-24,105,50,160
18,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5200,12000,21-Oct-24,86,52,120
19,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5200,14000,13-Nov-24,96,52,140
20,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5500,8500,7-Oct-24,70,55,85
21,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5500,9500,8-Sep-24,75,55,95
22,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5500,9600,29-Sep-24,75.5,55,96
23,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5500,11000,29-Oct-24,82.5,55,110
24,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5500,13000,12-Dec-24,92.5,55,130
25,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5500,14000,9-Nov-24,97.5,55,140
26,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,5500,17000,4-Jan-25,112.5,55,170
27,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6000,7500,5-Oct-24,67.5,60,75
28,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6000,8000,31-Oct-24,70,60,80
29,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6000,8500,27-Oct-24,72.5,60,85
30,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6000,10000,7-Sep-24,80,60,100
31,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6000,11000,10-Nov-24,85,60,110
32,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6000,11000,11-Nov-24,85,60,110
33,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6000,12000,9-Oct-24,90,60,120
34,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6000,12000,21-Jan-25,90,60,120
35,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6000,13000,1-Sep-24,95,60,130
36,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6000,13000,4-Nov-24,95,60,130
37,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6000,13000,14-Nov-24,95,60,130
38,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6000,13000,17-Nov-24,95,60,130
39,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6300,8500,14-Sep-24,74,63,85
40,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6400,8500,10-Oct-24,74.5,64,85
41,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6500,9500,12-Oct-24,80,65,95
42,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6500,9500,30-Sep-24,80,65,95
43,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6500,10500,17-Oct-24,85,65,105
44,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6500,11000,12-Sep-24,87.5,65,110
45,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,6500,13000,4-Sep-24,97.5,65,130
46,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,9000,4-Dec-24,80,70,90
47,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,9000,17-Sep-24,80,70,90
48,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,9000,24-Sep-24,80,70,90
49,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,9000,26-Oct-24,80,70,90
50,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,9000,28-Sep-24,80,70,90
51,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,10000,23-Dec-24,85,70,100
52,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,11000,3-Feb-25,90,70,110
53,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,11000,3-Oct-24,90,70,110
54,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,11000,15-Oct-24,90,70,110
55,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,11000,28-Dec-24,90,70,110
56,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,11000,28-Oct-24,90,70,110
57,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,12000,20-Oct-24,95,70,120
58,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,12000,30-Oct-24,95,70,120
59,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,13000,21-Nov-24,100,70,130
60,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,14000,25-Feb-25,105,70,140
61,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,14000,30-Jan-25,105,70,140
62,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7000,15000,23-Jul-25,110,70,150
63,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7200,10500,12-Nov-24,88.5,72,105
64,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,7500,13000,28-Nov-24,102.5,75,130
65,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,9000,8-Dec-24,85,80,90
66,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,9000,18-Feb-25,85,80,90
67,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,10000,2-Dec-24,90,80,100
68,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,10000,7-Dec-24,90,80,100
69,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,10000,26-Dec-24,90,80,100
70,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,11000,9-Feb-25,95,80,110
71,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,11000,25-Sep-24,95,80,110
72,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,12000,22-Feb-25,100,80,120
73,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,13000,2-Jan-25,105,80,130
74,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,13000,16-Nov-24,105,80,130
75,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,13000,19-Oct-24,105,80,130
76,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,14000,5-Nov-24,110,80,140
77,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,14000,15-Dec-24,110,80,140
78,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,15000,24-Jul-25,115,80,150
79,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8000,16000,22-Dec-24,120,80,160
80,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,8700,10000,7-Nov-24,93.5,87,100
81,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,9000,10000,23-Oct-24,95,90,100
82,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,9000,12000,20-Nov-24,105,90,120
83,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,9000,13000,18-Dec-24,110,90,130
84,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,9000,14000,22-Oct-24,115,90,140
85,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,9000,15000,2-Feb-25,120,90,150
86,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,9000,15000,6-Nov-24,120,90,150
87,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,9000,15000,8-Feb-25,120,90,150
88,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,9000,15000,18-Nov-24,120,90,150
89,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,9000,15000,20-Jul-25,120,90,150
90,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,9000,15000,22-Jul-25,120,90,150
91,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,10000,13000,23-Feb-25,115,100,130
92,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,10000,14000,19-Mar-25,120,100,140
93,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,10000,14000,24-Feb-25,120,100,140
94,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,10000,14000,24-Nov-24,120,100,140
95,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,10000,14000,27-Jul-25,120,100,140
96,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,10000,15000,19-Jul-25,125,100,150
97,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,10000,15000,25-Nov-24,125,100,150
98,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,10000,16000,8-Mar-25,130,100,160
99,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,10000,16000,22-Jan-25,130,100,160
100,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,10000,18000,1-Mar-25,140,100,180
101,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,10000,18000,17-Apr-25,140,100,180
102,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,11000,13000,23-Nov-24,120,110,130
103,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,11000,18000,23-Jan-25,145,110,180
104,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,12000,15000,27-Nov-24,135,120,150
105,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,12000,16000,13-Apr-25,140,120,160
106,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,12000,16000,25-Mar-25,140,120,160
107,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,12000,17000,28-Jan-25,145,120,170
108,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,12000,19000,12-Mar-25,155,120,190
109,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,13000,15000,27-Mar-25,140,130,150
110,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,13000,15000,30-Mar-25,140,130,150
111,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,13000,19000,10-Mar-25,160,130,190
112,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,13000,22000,16-Jul-25,175,130,220
113,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,14000,22000,14-Jun-25,180,140,220
114,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,15000,19000,3-Apr-25,170,150,190
115,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,15000,22000,13-Jul-25,185,150,220
116,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,15000,25000,15-Jun-25,200,150,250
117,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,16000,22000,10-Jun-25,190,160,220
118,Chattrapati Sambhajinagar,Chattrapati Sambhajinagar,Apple,Other,Local,18000,22000,23-Jun-25,200,180,220
119,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,10000,26-Nov-24,85,70,100
120,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,10000,28-Nov-24,85,70,100
121,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,11000,2-Dec-24,90,70,110
122,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,11000,3-Dec-24,90,70,110
123,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,11000,4-Dec-24,90,70,110
124,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,11000,5-Dec-24,90,70,110
125,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,12000,27-Nov-24,85,70,120
126,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,12000,1-Jul-25,95,70,120
127,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,12000,4-Feb-25,95,70,120
128,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,12000,4-Nov-24,95,70,120
129,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,12000,5-Feb-25,95,70,120
130,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,12000,5-Nov-24,95,70,120
131,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,12000,6-Jan-25,95,70,120
132,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,12000,6-Nov-24,95,70,120
133,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,12000,7-Jan-25,95,70,120
134,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,12000,7-Nov-24,95,70,120
135,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,12000,8-Nov-24,95,70,120
136,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,12000,9-Nov-24,95,70,120
137,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,12000,10-Jan-25,95,70,120
138,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,12000,11-Nov-24,95,70,120
139,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,12000,14-Jan-25,95,70,120
140,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,12000,14-Nov-24,95,70,120
141,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,12000,21-Jan-25,95,70,120
142,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,12000,21-Nov-24,95,70,120
143,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,12000,22-Jan-25,95,70,120
144,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,12000,22-Nov-24,95,70,120
145,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,12000,23-Nov-24,95,70,120
146,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,12000,25-Nov-24,95,70,120
147,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,12000,30-Jun-25,95,70,120
148,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,12000,30-Nov-24,95,70,120
149,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,13000,6-Dec-24,100,70,130
150,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,13000,7-Dec-24,100,70,130
151,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,13000,9-Dec-24,100,70,130
152,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,13000,10-Dec-24,100,70,130
153,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,13000,11-Dec-24,100,70,130
154,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,13000,12-Dec-24,100,70,130
155,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,13000,13-Dec-24,100,70,130
156,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,13000,14-Dec-24,100,70,130
157,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,13000,17-Dec-24,100,70,130
158,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,13000,28-Dec-24,100,70,130
159,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,14000,1-Nov-24,105,70,140
160,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,14000,2-Nov-24,105,70,140
161,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,14000,3-Sep-24,105,70,140
162,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,14000,9-Jan-25,105,70,140
163,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,14000,18-Dec-24,105,70,140
164,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,14000,19-Dec-24,105,70,140
165,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,14000,21-Dec-24,105,70,140
166,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,14000,23-Dec-24,105,70,140
167,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,14000,24-Dec-24,105,70,140
168,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,14000,26-Dec-24,105,70,140
169,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,14000,1-Feb-25,115,70,140
170,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,7000,14000,27-Dec-24,115,70,140
171,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,12000,10-Sep-24,100,80,120
172,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,12000,12-Jul-25,100,80,120
173,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,12000,13-Jan-25,100,80,120
174,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,12000,23-Jul-25,100,80,120
175,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,12000,24-Jul-25,100,80,120
176,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,12000,25-Jul-25,100,80,120
177,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,12000,26-Jul-25,100,80,120
178,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,12000,26-Sep-24,100,80,120
179,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,13000,2-Jan-25,105,80,130
180,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,13000,4-Jan-25,105,80,130
181,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,13000,28-Oct-24,105,80,130
182,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,13000,29-Oct-24,105,80,130
183,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,13000,31-Dec-24,105,80,130
184,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,14000,1-Jan-25,110,80,140
185,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,14000,11-Sep-24,110,80,140
186,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,14000,12-Nov-24,110,80,140
187,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,14000,13-Nov-24,110,80,140
188,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,14000,13-Sep-24,110,80,140
189,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,14000,20-Sep-24,110,80,140
190,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,14000,23-Jan-25,110,80,140
191,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,14000,25-Sep-24,110,80,140
192,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,14000,27-Sep-24,110,80,140
193,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,14000,31-Aug-24,110,80,140
194,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,15000,2-Sep-24,115,80,150
195,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,15000,4-Sep-24,115,80,150
196,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,15000,5-Sep-24,115,80,150
197,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,15000,16-Sep-24,115,80,150
198,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,15000,18-Sep-24,115,80,150
199,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,15000,19-Sep-24,115,80,150
200,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,15000,24-Sep-24,115,80,150
201,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,8000,16000,6-Sep-24,120,80,160
202,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,9000,12000,9-Sep-24,105,90,120
203,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,9000,12000,11-Jan-25,105,90,120
204,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,9000,13000,10-Oct-24,110,90,130
205,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,9000,13000,11-Oct-24,110,90,130
206,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,9000,13000,12-Oct-24,110,90,130
207,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,9000,13000,14-Oct-24,110,90,130
208,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,9000,13000,15-Oct-24,110,90,130
209,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,9000,13000,16-Oct-24,110,90,130
210,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,9000,13000,17-Jan-25,110,90,130
211,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,9000,13000,18-Oct-24,110,90,130
212,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,9000,13000,19-Oct-24,110,90,130
213,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,9000,13000,21-Oct-24,110,90,130
214,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,9000,13000,22-Oct-24,110,90,130
215,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,9000,13000,23-Oct-24,110,90,130
216,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,9000,13000,24-Oct-24,110,90,130
217,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,9000,13000,25-Oct-24,110,90,130
218,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,9000,13000,26-Oct-24,110,90,130
219,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,9000,13000,17-Oct-24,116,90,130
220,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,9000,14000,18-Jan-25,115,90,140
221,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,9000,14000,20-Jan-25,115,90,140
222,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,9000,15000,12-Sep-24,120,90,150
223,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,9000,15000,14-Sep-24,120,90,150
224,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,9000,15000,21-Sep-24,120,90,150
225,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,9000,15000,23-Sep-24,120,90,150
226,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,9000,15000,24-Jan-25,120,90,150
227,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,9000,15000,28-Sep-24,120,90,150
228,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,9000,16000,25-Jan-25,125,90,160
229,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,10000,14000,4-Oct-24,120,100,140
230,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,10000,14000,5-Oct-24,120,100,140
231,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,10000,14000,7-Oct-24,120,100,140
232,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,10000,15000,2-Oct-24,125,100,150
233,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,10000,15000,3-Oct-24,125,100,150
234,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,10000,15000,17-Jun-25,125,100,150
235,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,10000,16000,1-Oct-24,130,100,160
236,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,10000,16000,7-Sep-24,130,100,160
237,Mumbai,Mumbai- Fruit Market,Apple,Other,Local,10000,16000,30-Sep-24,130,100,160
238,Nagpur,Nagpur,Apple,Other,Local,11000,13000,29-May-25,125,110,130
239,Nagpur,Nagpur,Apple,Other,Local,11000,13000,9-Jul-25,125,110,130
240,Nagpur,Nagpur,Apple,Other,Local,11000,13000,23-Apr-25,125,110,130
241,Nagpur,Nagpur,Apple,Other,Local,11000,13000,27-May-25,125,110,130
242,Nagpur,Nagpur,Apple,Other,Local,11000,13000,8-Mar-25,125,110,130
243,Nagpur,Nagpur,Apple,Other,Local,11000,13000,8-Feb-25,125,110,130
244,Nagpur,Nagpur,Apple,Other,Local,11000,13000,25-Mar-25,125,110,130
245,Nagpur,Nagpur,Apple,Other,Local,11000,13000,21-Jun-25,125,110,130
246,Nagpur,Nagpur,Apple,Other,Local,11000,13000,7-Mar-25,125,110,130
247,Nagpur,Nagpur,Apple,Other,Local,11000,13000,15-Mar-25,125,110,130
248,Nagpur,Nagpur,Apple,Other,Local,11000,13000,23-Jul-25,125,110,130
